fetch_date,sku,price
03/07/2012,LD02652597,2223
03/07/2012,LD02652785,2442
03/07/2012,LD02582500,2710
03/07/2012,LD02661291,2893
03/07/2012,LD02662617,2908
03/07/2012,LD02653360,2976
03/07/2012,LD02640375,3098
03/07/2012,LD02658799,3265
03/07/2012,LD02663391,3971
03/07/2012,LD02610710,2724
03/07/2012,LD02664380,1196
03/07/2012,LD02653313,1895
03/07/2012,LD02661236,2637
03/07/2012,LD02662946,3553
03/07/2012,LD02660488,1565
03/07/2012,LD02653282,2294
03/07/2012,LD02653494,2549
03/07/2012,LD02653646,2066
03/07/2012,LD02660694,2067
03/07/2012,LD02627461,2149
03/07/2012,LD02658806,2719
03/07/2012,LD02662905,1405
03/07/2012,LD02639403,1564
03/07/2012,LD02660689,2183
03/07/2012,LD02596239,2796
03/07/2012,LD02653123,2820
03/07/2012,LD02652644,1027
03/07/2012,LD02635342,1397
03/07/2012,LD02655803,1414
03/07/2012,LD02660499,1475
03/07/2012,LD02655522,1586
03/07/2012,LD02661107,1586
03/07/2012,LD02650777,1590
03/07/2012,LD02662866,2034
03/07/2012,LD02608356,1276
03/07/2012,LD02633616,1407
03/07/2012,LD02662603,1437
03/07/2012,LD02662688,1489
03/07/2012,LD02635303,1518
03/07/2012,LD02662539,1552
03/07/2012,LD02661697,1556
03/07/2012,LD02663631,2033
03/07/2012,LD02663058,2105
03/07/2012,LD02660742,2277
03/07/2012,LD02596436,2319
03/07/2012,LD02653114,2632
03/07/2012,LD02626884,2647
03/07/2012,LD02662902,3783
03/07/2012,LD02660649,886
03/07/2012,LD02652773,964
03/07/2012,LD02618235,1039
03/07/2012,LD02658700,1056
03/07/2012,LD02662285,1135
03/07/2012,LD02660664,1150
03/07/2012,LD02655723,1196
03/07/2012,LD02631480,1254
03/07/2012,LD02661600,1257
03/07/2012,LD02652846,1294
03/07/2012,LD02660728,1322
03/07/2012,LD02660645,1352
03/07/2012,LD02660602,1355
03/07/2012,LD02663219,1379
03/07/2012,LD02622833,1438
03/07/2012,LD02653032,1442
03/07/2012,LD02661757,1459
03/07/2012,LD02652817,1481
03/07/2012,LD02601426,1488
03/07/2012,LD02663194,1519
03/07/2012,LD02653381,1610
03/07/2012,LD02655668,1613
03/07/2012,LD02662190,1620
03/07/2012,LD02663323,1687
03/07/2012,LD02661544,1816
03/07/2012,LD02660638,1892
03/07/2012,LD02653044,2007
03/07/2012,LD02662856,2016
03/07/2012,LD02663248,2104
03/07/2012,LD02626880,2106
03/07/2012,LD02652859,2121
03/07/2012,LD02653587,2154
